Employee_Name,Employee_Number,State,Zip,DOB,Age,Sex,MaritalDesc,CitizenDesc,Date_of_Hire,Date_of_Termination,Reason_For_Term,Employment_Status,Department,Position,Pay_Rate,Manager_Name,Employee_Source,Performance_Score
"McKinzie, Jac",1209049326,TX,78789,1/7/84,33,Male,Married,US Citizen,6/7/16,,N/A - Has not started yet,Future Start,Sales,Area Sales Manager,55,Lynn Daneault,Website Banner Ads,N/A- too early to review
"Mahoney, Lauren  ",1209049259,MA,2189,7/7/86,31,Female,Single,US Citizen,6/1/14,,N/A - still employed,Active,Production       ,Production Technician I,17,Ketsia Liebig,Newspager/Magazine,Fully Meets
"Martins, Joseph",1209048771,TX,78207,11/6/70,47,Male,Single,Eligible NonCitizen,14/05/2012,,N/A - still employed,Active,Sales,Area Sales Manager,56,Lynn Daneault,Employee Referral,Fully Meets
"Close, Phil",1209048697,MA,2169,25/11/1978,39,Male,Married,US Citizen,30/08/2010,26/09/2011,career change,Voluntarily Terminated,Production       ,Production Technician II,26,David Stanley,Other,Fully Meets
"DiNocco, Lily ",1209048696,MA,2351,2/12/78,39,Female,Married,US Citizen,7/1/13,,N/A - still employed,Active,Production       ,Production Technician I,22,Brannon Miller,Pay Per Click - Google,Needs Improvement
"Rarrick, Quinn",1208048229,MA,2478,31/12/1984,33,Male,Divorced,US Citizen,26/09/2011,7/4/12,more money,Voluntarily Terminated,Production       ,Production Technician I,21,Michael Albert,Pay Per Click - Google,Fully Meets
"Chace, Beatrice ",1208048062,MA,2763,2/1/51,67,Female,Single,US Citizen,29/09/2014,,N/A - still employed,Active,Production       ,Production Technician I,16,Michael Albert,Search Engine - Google Bing Yahoo,Fully Meets
"Homberger, Adrienne  J",1207046956,MA,2445,16/02/1984,33,Female,Married,Non-Citizen,15/08/2011,7/4/12,relocation out of area,Voluntarily Terminated,Production       ,Production Technician II,28,Michael Albert,Glassdoor,Fully Meets
"O'hare, Lynn",1206044851,MA,2152,30/09/1980,37,Female,widowed,US Citizen,31/03/2014,1/5/16,performance,Terminated for Cause,Production       ,Production Technician I,18.5,Kissy Sullivan,Professional Society,PIP
"Quinn, Sean",1206043417,MA,2045,6/11/84,33,Male,Married,Eligible NonCitizen,21/02/2011,15/08/2015,career change,Voluntarily Terminated,Admin Offices,Shared Services Manager,55,Janet King,Diversity Job Fair,Fully Meets
"Linares, Marilyn ",1206042315,MA,1886,26/03/1981,36,Female,Married,US Citizen,5/7/11,26/09/2011,unhappy,Voluntarily Terminated,Production       ,Production Technician I,15.25,Michael Albert,Internet Search,N/A- too early to review
"Robinson, Alain  ",1206038000,MA,1420,7/1/74,44,Male,Married,US Citizen,10/1/11,26/01/2016,attendance,Voluntarily Terminated,Production       ,Production Technician I,24,Amy Dunn,Glassdoor,Fully Meets
"Miller, Ned",1205033439,MA,2472,29/06/1985,32,Male,Single,US Citizen,15/08/2011,4/9/14,unhappy,Voluntarily Terminated,Production       ,Production Technician II,25,Brannon Miller,MBTA ads,PIP
"Wolk, Hang  T",1205033180,MA,2302,20/04/1985,32,Female,Single,US Citizen,29/09/2014,,N/A - still employed,Active,Production       ,Production Technician II,22,David Stanley,Newspager/Magazine,Fully Meets
"Shields, Seffi",1205033102,MA,2149,24/08/1985,32,Female,Married,US Citizen,19/08/2013,,N/A - still employed,Active,Production       ,Production Technician I,15,Amy Dunn,Newspager/Magazine,Fully Meets
"Ndzi, Horia",1204033041,MA,2421,28/03/1983,34,Male,Married,US Citizen,1/4/13,25/05/2016,more money,Voluntarily Terminated,Production       ,Production Technician I,22,Amy Dunn,Employee Referral,Fully Meets
"Girifalco, Evelyn",1204032927,MA,2451,8/5/80,37,Female,Single,US Citizen,29/09/2014,,N/A - still employed,Active,Production       ,Production Technician I,16,Amy Dunn,Professional Society,Exceeds
"Friedman, Gerry",1204032843,NY,10171,24/02/1969,48,Male,Single,US Citizen,7/3/11,,N/A - still employed,Active,Sales,Area Sales Manager,55.5,John Smith,Diversity Job Fair,Fully Meets
"Del Bosque, Keyla",1203032498,MA,2176,5/7/79,38,Female,Single,US Citizen,9/1/12,,N/A - still employed,Active,Software Engineering,Software Engineer,57.12,Alex Sweetwater,Monster.com,90-day meets
"Nguyen, Lei-Ming",1203032357,MA,2132,7/7/84,33,Female,Single,US Citizen,8/7/13,,N/A - still employed,Active,Production       ,Production Technician I,19,David Stanley,Vendor Referral,Fully Meets
"Soto, Julia ",1203032263,MA,2360,12/3/73,44,Female,Married,US Citizen,10/6/11,,N/A - still employed,Active,IT/IS,IT Support,27.49,Eric Dougall,Information Session,Fully Meets
"Rogers, Ivan",1203032255,MA,1810,26/08/1986,31,Male,Married,US Citizen,30/03/2015,,N/A - still employed,Active,IT/IS,Database Administrator,42.2,Simon Roup,Pay Per Click - Google,N/A- too early to review
"Veera, Abdellah ",1203032235,MA,2171,31/01/1987,30,Male,Divorced,US Citizen,13/08/2012,5/2/16,maternity leave - did not return,Voluntarily Terminated,Production       ,Production Technician I,19,Kissy Sullivan,Information Session,Exceeds
"Givens, Myriam",1203032099,IN,46204,22/09/1989,28,Female,Single,US Citizen,16/02/2015,,N/A - still employed,Active,Sales,Area Sales Manager,55,Lynn Daneault,Pay Per Click - Google,90-day meets
"Pelletier, Ermine",1202031821,MA,2472,18/07/1989,28,Female,Married,US Citizen,5/7/11,15/09/2011,unhappy,Voluntarily Terminated,Production       ,Production Technician II,28,Amy Dunn,Monster.com,N/A- too early to review
"Dobrin, Denisa  S",1202031618,MA,2125,7/10/86,31,Female,Single,US Citizen,2/4/12,,N/A - still employed,Active,Production       ,Production Technician I,16.75,David Stanley,Monster.com,Fully Meets
"Jackson, Maryellen",1201031438,MA,2081,11/9/72,45,Female,Separated,US Citizen,5/11/12,,N/A - still employed,Active,Production       ,Production Technician I,20,David Stanley,Newspager/Magazine,Fully Meets
"Szabo, Andrew",1201031324,MA,2140,6/5/83,34,Male,Single,US Citizen,7/7/14,,N/A - still employed,Active,Software Engineering,Software Engineer,48,Alex Sweetwater,MBTA ads,Exceptional
"Sullivan, Timothy",1201031310,MA,2747,7/10/82,35,Male,Married,US Citizen,5/1/15,,N/A - still employed,Active,Production       ,Production Technician I,19,Michael Albert,Word of Mouth,90-day meets
"Foster-Baker, Amy",1201031308,MA,2050,16/04/1979,38,Female,Married,US Citizen,5/1/09,,N/A - still employed,Active,Admin Offices,Sr. Accountant,34.95,Board of Directors,Other,Fully Meets
"Davis, Daniel",1201031274,MA,2458,14/09/1979,38,Male,Single,Eligible NonCitizen,7/11/11,,N/A - still employed,Active,Production       ,Production Technician II,25,Kissy Sullivan,Newspager/Magazine,90-day meets
"MacLennan, Samuel",1201031032,MA,1938,9/11/72,45,Male,widowed,US Citizen,24/09/2012,26/09/2012,hours,Voluntarily Terminated,Production       ,Production Technician I,15,Amy Dunn,Pay Per Click,N/A- too early to review
"Foss, Jason",1192991000,MA,1460,5/7/80,37,Male,Single,US Citizen,15/04/2011,,N/A - still employed,Active,IT/IS,IT Director,65,Jennifer Zamora,Professional Society,Exceptional
"Patronick, Luke",1112030979,MA,1844,20/02/1979,38,Male,Single,US Citizen,7/11/11,7/9/15,Another position,Voluntarily Terminated,Software Engineering,Software Engineer,52.25,Alex Sweetwater,Diversity Job Fair,Exceeds
"Zamora, Jennifer",1112030816,MA,2067,30/08/1979,38,Female,Single,US Citizen,10/4/10,,N/A - still employed,Active,IT/IS,CIO,65,Janet King,Employee Referral,Exceptional
"Nguyen, Dheepa",1111030684,GA,30428,31/03/1989,28,Female,Single,US Citizen,8/7/13,,N/A - still employed,Active,Sales,Area Sales Manager,55,Lynn Daneault,Pay Per Click - Google,Fully Meets
"Villanueva, Noah",1111030503,ME,4063,11/7/89,28,Male,Single,US Citizen,5/3/12,,N/A - still employed,Active,Sales,Area Sales Manager,56,John Smith,Website Banner Ads,Fully Meets
"Roehrich, Bianca",1111030266,MA,2703,27/05/1973,44,Female,Single,US Citizen,5/1/15,10/11/15,Another position,Voluntarily Terminated,IT/IS,Sr. DBA,58.5,Simon Roup,Vendor Referral,90-day meets
"Stanford,Barbara  M",1111030244,MA,2050,25/08/1982,35,Female,Divorced,US Citizen,10/1/11,,N/A - still employed,Active,Production       ,Production Technician I,14,Kissy Sullivan,Word of Mouth,Fully Meets
"Salter, Jason",1111030148,MA,2452,17/12/1987,30,Male,Divorced,US Citizen,5/1/15,31/10/2015,hours,Voluntarily Terminated,IT/IS,Database Administrator,45,Simon Roup,Vendor Referral,90-day meets
"Chang, Donovan  E",1111030129,MA,1845,24/08/1983,34,Male,Single,US Citizen,8/7/13,,N/A - still employed,Active,Production       ,Production Technician I,22,Webster Butler,Newspager/Magazine,Fully Meets
"Butler, Webster  L",1110029990,MA,2169,9/8/83,34,Male,Single,US Citizen,28/01/2016,,N/A - still employed,Active,Production       ,Production Manager,55,Janet King,Pay Per Click - Google,Exceeds
"Becker, Scott",1110029777,MA,2452,6/4/79,38,Male,Single,US Citizen,8/7/13,,N/A - still employed,Leave of Absence,Production       ,Production Technician I,17,Webster Butler,MBTA ads,Fully Meets
"Zhou, Julia",1110029732,MA,2148,24/02/1979,38,Female,Single,US Citizen,30/03/2015,,N/A - still employed,Active,IT/IS,Database Administrator,31.4,Simon Roup,Employee Referral,90-day meets
"Manchester, Robyn",1110029623,MA,2324,25/08/1976,41,Female,Married,US Citizen,11/5/16,,N/A - Has not started yet,Future Start,Production       ,Production Technician II,23,Webster Butler,Vendor Referral,N/A- too early to review
"Harrington, Christie ",1110029602,MA,2324,18/08/1952,65,Female,Single,US Citizen,9/1/12,15/12/2015,retiring,Voluntarily Terminated,Production       ,Production Technician I,19.75,Webster Butler,Monster.com,Fully Meets
"Panjwani, Nina",1109029531,MA,2351,1/5/79,38,Female,Married,US Citizen,7/2/11,12/1/14,Another position,Voluntarily Terminated,Production       ,Production Technician I,18,Elijiah Gray,Social Networks - Facebook Twitter etc,Fully Meets
"Bernstein, Sean",1109029366,MA,2072,22/12/1970,47,Male,Single,US Citizen,2/4/12,,N/A - still employed,Active,Production       ,Production Technician I,16,Amy Dunn,Word of Mouth,Fully Meets
"Kampew, Donysha    ",1109029264,PA,19444,11/11/89,28,Female,Single,US Citizen,7/11/11,24/04/2014,maternity leave - did not return,Voluntarily Terminated,Sales,Sales Manager,60.25,Debra Houlihan,Social Networks - Facebook Twitter etc,Fully Meets
"Medeiros, Jennifer",1109029256,MA,2346,22/09/1976,41,Female,Single,US Citizen,30/03/2015,,N/A - still employed,Active,Production       ,Production Technician I,20,Michael Albert,Monster.com,N/A- too early to review
"Perry, Shakira",1109029186,MA,2176,20/07/1986,31,Female,Single,US Citizen,16/05/2011,25/10/2015,medical issues,Voluntarily Terminated,Production       ,Production Technician I,22,Amy Dunn,MBTA ads,Fully Meets
"Fitzpatrick, Michael  J",1109029103,MA,2143,1/10/81,36,Male,Single,US Citizen,16/05/2011,24/06/2013,hours,Voluntarily Terminated,Production       ,Production Technician II,29,Amy Dunn,Social Networks - Facebook Twitter etc,Fully Meets
"Faller, Megan ",1108028428,MA,1824,22/09/1978,39,Female,Married,US Citizen,7/7/14,,N/A - still employed,Active,Production       ,Production Technician II,27,Elijiah Gray,Professional Society,Fully Meets
"Gosciminski, Phylicia  ",1108028351,MA,1824,8/12/83,34,Female,Separated,US Citizen,30/09/2013,,N/A - still employed,Leave of Absence,Production       ,Production Technician II,27,Kissy Sullivan,Word of Mouth,Fully Meets
"Lajiri,  Jyoti",1108028108,MA,2169,23/04/1986,31,Male,Married,US Citizen,10/11/14,,N/A - still employed,Leave of Absence,IT/IS,Sr. Network Engineer,56.2,Peter Monroe,Employee Referral,Fully Meets
"Petrowsky, Thelma",1108027853,MA,1886,16/09/1984,33,Female,Married,US Citizen,10/11/14,,N/A - still employed,Active,IT/IS,Database Administrator,42.75,Simon Roup,Employee Referral,Exceptional
"LeBel, Jonathan  R",1107027575,MA,2050,18/10/1981,36,Male,Single,US Citizen,21/02/2011,4/8/11,attendance,Terminated for Cause,Production       ,Production Technician I,15,Kelley Spirea,Social Networks - Facebook Twitter etc,90-day meets
"Trzeciak, Cybil",1107027551,MA,1778,15/03/1985,32,Female,Single,US Citizen,10/1/11,2/7/12,unhappy,Voluntarily Terminated,Production       ,Production Technician II,22,Amy Dunn,Vendor Referral,Fully Meets
"Jung, Judy  ",1107027450,MA,2446,17/04/1986,31,Female,Married,US Citizen,10/1/11,1/4/16,unhappy,Voluntarily Terminated,Production       ,Production Technician I,21,Elijiah Gray,Monster.com,90-day meets
"Evensen, April",1107027392,MA,2458,6/5/89,28,Female,Single,US Citizen,17/02/2014,25/02/2014,"no-call, no-show",Terminated for Cause,Production       ,Production Technician I,18,Elijiah Gray,Word of Mouth,N/A- too early to review
"Andreola, Colby",1107027358,MA,2110,24/05/1979,38,Female,Single,US Citizen,10/11/14,,N/A - still employed,Active,Software Engineering,Software Engineer,47.6,Alex Sweetwater,Vendor Referral,Fully Meets
"Miller, Brannon",1107027351,MA,2045,10/8/81,36,Male,Single,US Citizen,16/08/2012,,N/A - still employed,Active,Production       ,Production Manager,53,Janet King,Internet Search,Fully Meets
"Roup,Simon",1106026933,MA,2481,5/4/73,44,Male,Single,US Citizen,20/01/2013,,N/A - still employed,Active,IT/IS,IT Manager - DB,62,Jennifer Zamora,Professional Society,Fully Meets
"Stoica, Rick",1106026896,MA,2301,14/03/1985,32,Male,Married,US Citizen,17/02/2014,,N/A - still employed,Active,Production       ,Production Technician I,22,Kelley Spirea,On-campus Recruiting,Fully Meets
"Gordon, David",1106026579,MA,2169,21/05/1979,38,Male,Married,US Citizen,2/7/12,,N/A - still employed,Active,Production       ,Production Technician I,15,David Stanley,MBTA ads,Fully Meets
"LaRotonda, William  ",1106026572,MA,1460,26/04/1984,33,Male,Divorced,US Citizen,6/1/14,,N/A - still employed,Active,Admin Offices,Accountant I,23,Brandon R. LeBlanc,Website Banner Ads,Fully Meets
"Von Massenbach, Anna",1106026474,MA,2124,6/4/85,32,Female,Single,US Citizen,5/7/15,,N/A - Has not started yet,Future Start,Production       ,Production Technician I,20,Michael Albert,Newspager/Magazine,N/A- too early to review
"Sahoo, Adil",1106026462,MA,2062,26/04/1986,31,Male,Married,US Citizen,30/08/2010,,N/A - still employed,Active,Production       ,Production Technician II,29,Kelley Spirea,Monster.com,Fully Meets
"Hunts, Julissa",1106026433,MA,2021,11/3/84,33,Female,Single,US Citizen,6/6/16,,N/A - Has not started yet,Future Start,Production       ,Production Technician II,25,Elijiah Gray,Vendor Referral,N/A- too early to review
"Gaul, Barbara",1105026041,MA,2121,2/12/83,34,Female,widowed,US Citizen,16/05/2011,,N/A - still employed,Active,Production       ,Production Technician I,24,Kelley Spirea,MBTA ads,Fully Meets
"Johnson, George",1105025721,MA,2445,19/08/1959,58,Male,Married,US Citizen,7/11/11,29/04/2016,more money,Voluntarily Terminated,Production       ,Production Technician I,17,Michael Albert,Monster.com,Exceeds
"Horton, Jayne",1105025718,MA,2493,21/02/1984,33,Female,Single,US Citizen,30/03/2015,,N/A - still employed,Active,IT/IS,Database Administrator,34,Simon Roup,Glassdoor,N/A- too early to review
"Erilus, Angela",1105025661,MA,2133,25/08/1989,28,Female,Separated,US Citizen,7/7/14,,N/A - still employed,Active,Production       ,Production Technician II,24,Michael Albert,Pay Per Click - Google,PIP
"Latif, Mohammed",1104025486,MA,2126,9/5/84,33,Male,Married,US Citizen,2/4/12,15/04/2013,more money,Voluntarily Terminated,Production       ,Production Technician II,28,Kissy Sullivan,Word of Mouth,Fully Meets
"Tredinnick, Neville ",1104025466,MA,1420,5/5/88,29,Male,Married,US Citizen,5/1/15,12/5/15,medical issues,Voluntarily Terminated,IT/IS,Network Engineer,28,Peter Monroe,Monster.com,Fully Meets
"Nowlan, Kristie",1104025435,MA,1040,23/11/1985,32,Female,Single,US Citizen,10/11/14,,N/A - still employed,Active,Production       ,Production Technician II,26.39,Elijiah Gray,Glassdoor,Fully Meets
"Garneau, Hamish",1104025414,MA,1550,18/04/1980,37,Male,Single,US Citizen,8/7/13,,N/A - still employed,Active,Production       ,Production Technician I,18,Kissy Sullivan,Professional Society,Fully Meets
"Estremera, Miguel",1104025243,MA,2129,2/9/83,34,Male,Single,US Citizen,2/4/12,27/09/2014,attendance,Terminated for Cause,Production       ,Production Technician I,17,Michael Albert,Word of Mouth,Needs Improvement
"Demita, Carla",1104025179,MA,2343,25/02/1951,66,Female,Separated,US Citizen,4/4/11,4/11/15,more money,Voluntarily Terminated,Production       ,Production Technician II,29,Kelley Spirea,Search Engine - Google Bing Yahoo,Fully Meets
"Khemmich, Bartholemew",1104025008,CO,80820,27/11/1979,38,Male,Single,US Citizen,19/08/2013,,N/A - still employed,Active,Sales,Area Sales Manager,55,Lynn Daneault,Pay Per Click - Google,Fully Meets
"Hutter, Rosalie",1103024924,MA,2351,7/5/92,25,Female,Separated,US Citizen,5/6/15,,N/A - Has not started yet,Future Start,Production       ,Production Technician II,28,Webster Butler,Other,N/A- too early to review
"Gross, Paula",1103024859,MA,2176,21/05/1983,34,Female,Divorced,US Citizen,21/02/2011,11/1/14,more money,Voluntarily Terminated,Production       ,Production Technician I,14,Kelley Spirea,Monster.com,Fully Meets
"Petingill, Shana  ",1103024843,MA,2050,10/3/79,38,Female,Married,Eligible NonCitizen,2/4/12,,N/A - still employed,Active,Production       ,Production Technician II,26,Brannon Miller,MBTA ads,Fully Meets
"Liebig, Ketsia",1103024679,MA,2110,26/10/1981,36,Female,Married,US Citizen,30/09/2013,,N/A - still employed,Active,Production       ,Production Manager,55,Janet King,Website Banner Ads,Exceeds
"Tinto, Theresa  ",1103024504,MA,1876,30/07/1983,34,Female,Divorced,US Citizen,10/1/11,14/05/2011,Another position,Voluntarily Terminated,Production       ,Production Technician I,20,Ketsia Liebig,Social Networks - Facebook Twitter etc,90-day meets
"Brown, Mia",1103024456,MA,1450,24/11/1985,32,Female,Married,US Citizen,27/10/2008,,N/A - still employed,Active,Admin Offices,Accountant I,28.5,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets
"Owad, Clinton",1103024335,MA,1760,24/11/1979,38,Male,Single,US Citizen,17/02/2014,,N/A - still employed,Active,Production       ,Production Technician I,22,Michael Albert,MBTA ads,Needs Improvement
"Power, Morissa",1102024274,MA,1742,15/10/1984,33,Female,Divorced,Eligible NonCitizen,16/05/2011,4/6/11,Another position,Voluntarily Terminated,Production       ,Production Technician I,19,Kissy Sullivan,Social Networks - Facebook Twitter etc,N/A- too early to review
"Cisco, Anthony",1102024173,MA,2135,24/11/1989,28,Male,Married,US Citizen,30/03/2015,,N/A - still employed,Active,IT/IS,Network Engineer,42,Peter Monroe,Information Session,N/A- too early to review
"Spirea, Kelley",1102024149,MA,2451,30/09/1975,42,Female,Married,US Citizen,2/10/12,,N/A - still employed,Active,Production       ,Production Manager,52,Janet King,Vendor Referral,Fully Meets
"Motlagh,  Dawn",1102024121,MA,2453,7/7/84,33,Female,Divorced,US Citizen,1/4/13,,N/A - still employed,Active,Production       ,Production Technician I,15,Elijiah Gray,MBTA ads,Fully Meets
"LeBlanc, Brandon  R",1102024115,MA,1460,10/6/84,33,Male,Married,US Citizen,5/1/16,,N/A - still employed,Active,Admin Offices,Shared Services Manager,55,Janet King,Monster.com,Fully Meets
"Potts, Xana",1102024106,KY,40220,29/08/1988,29,Female,Married,US Citizen,9/1/12,,N/A - still employed,Active,Sales,Area Sales Manager,55,Lynn Daneault,Website Banner Ads,Fully Meets
"True, Edward",1102024057,MA,2451,14/06/1983,34,Male,Single,Non-Citizen,18/02/2013,15/04/2014,medical issues,Voluntarily Terminated,Software Engineering,Software Engineer,45.42,Alex Sweetwater,Diversity Job Fair,Fully Meets
"Becker, Renee",1102024056,MA,2026,4/4/86,31,Female,Single,US Citizen,7/7/14,12/9/15,performance,Terminated for Cause,IT/IS,Database Administrator,43,Simon Roup,Search Engine - Google Bing Yahoo,Fully Meets
"Pearson, Randall",1102023965,MA,2747,5/9/84,33,Male,Married,US Citizen,1/12/14,1/5/16,performance,Voluntarily Terminated,IT/IS,Database Administrator,41,Simon Roup,Employee Referral,Fully Meets
"Wilber, Barry",1101023839,MA,2324,9/9/65,52,Male,Married,Eligible NonCitizen,16/05/2011,7/9/15,unhappy,Voluntarily Terminated,Production       ,Production Technician I,21,Amy Dunn,Website Banner Ads,Fully Meets
"Dougall, Eric",1101023754,MA,1886,9/7/70,47,Male,Single,US Citizen,5/1/14,,N/A - still employed,Active,IT/IS,IT Manager - Support,64,Jennifer Zamora,Professional Society,Exceeds
"Barone, Francesco  A",1101023679,MA,1810,20/07/1983,34,Male,Single,US Citizen,20/02/2012,,N/A - still employed,Active,Production       ,Production Technician I,16.76,Kelley Spirea,Social Networks - Facebook Twitter etc,Fully Meets
"Wallace, Theresa",1101023619,MA,1887,2/8/80,37,Female,Single,US Citizen,13/08/2012,1/9/15,career change,Voluntarily Terminated,Production       ,Production Technician I,15,Elijiah Gray,Monster.com,Needs Improvement
"England, Rex",1101023612,MA,2045,25/08/1978,39,Male,Married,US Citizen,31/03/2014,,N/A - still employed,Active,Production       ,Production Technician I,21,Kelley Spirea,Employee Referral,90-day meets
"Carabbio, Judith",1101023577,MA,2132,5/4/87,30,Female,Single,US Citizen,11/11/13,,N/A - still employed,Active,Software Engineering,Software Engineer,56,Alex Sweetwater,Pay Per Click - Google,90-day meets
"Dolan, Linda",1101023540,MA,2119,18/07/1988,29,Female,Married,US Citizen,5/1/15,,N/A - still employed,Active,IT/IS,Network Engineer,37,Peter Monroe,Employee Referral,90-day meets
"Buccheri, Joseph  ",1101023457,MA,1013,28/07/1983,34,Male,Single,US Citizen,29/09/2014,,N/A - still employed,Active,Production       ,Production Technician II,22,Webster Butler,Word of Mouth,Fully Meets
"Chivukula, Enola",1101023394,MA,1775,27/08/1983,34,Female,Single,US Citizen,27/06/2011,15/11/2015,relocation out of area,Voluntarily Terminated,Production       ,Production Technician I,21,Amy Dunn,Other,90-day meets
"Lydon, Allison",1101023353,MA,2122,22/10/1975,42,Female,Married,US Citizen,16/02/2015,,N/A - still employed,Leave of Absence,Production       ,Production Technician I,20,Elijiah Gray,Website Banner Ads,90-day meets
"Cierpiszewski, Caroline  ",1012023295,MA,2044,31/05/1988,29,Female,Single,Non-Citizen,3/10/11,,N/A - still employed,Active,Production       ,Production Technician I,22,Ketsia Liebig,Pay Per Click - Google,Fully Meets
"Cloninger, Jennifer",1012023226,MA,1752,31/08/1981,36,Female,Married,US Citizen,16/05/2011,7/1/13,unhappy,Voluntarily Terminated,Production       ,Production Technician II,25,Brannon Miller,Word of Mouth,90-day meets
"Foreman, Tanya",1012023204,MA,2170,8/11/83,34,Female,Married,US Citizen,4/4/11,9/1/12,career change,Voluntarily Terminated,Production       ,Production Technician II,24,Ketsia Liebig,Word of Mouth,Fully Meets
"Saada, Adell",1012023185,MA,2132,24/07/1986,31,Female,Married,US Citizen,5/11/12,,N/A - still employed,Active,Software Engineering,Software Engineer,49.25,Alex Sweetwater,Pay Per Click - Google,Fully Meets
"Trang, Mei",1012023152,MA,2021,16/05/1983,34,Female,Single,US Citizen,17/02/2014,,N/A - still employed,Active,Production       ,Production Technician I,22,David Stanley,Professional Society,N/A- too early to review
"Sloan, Constance",1012023103,MA,1851,25/11/1987,30,Female,Single,US Citizen,26/10/2009,8/4/15,maternity leave - did not return,Voluntarily Terminated,Production       ,Production Technician II,23,Michael Albert,Monster.com,Fully Meets
"Merlos, Carlos",1012023013,MA,2138,18/06/1987,30,Male,Single,US Citizen,30/03/2015,,N/A - still employed,Active,IT/IS,Network Engineer,43,Peter Monroe,Vendor Referral,N/A- too early to review
"Woodson, Jason",1012023010,MA,1810,11/5/85,32,Male,Single,US Citizen,7/7/14,,N/A - still employed,Active,Production       ,Production Technician II,24.25,Kissy Sullivan,Vendor Referral,Fully Meets
"Hendrickson, Trina",1011022932,MA,2021,27/08/1972,45,Female,Single,US Citizen,10/1/11,18/02/2013,hours,Voluntarily Terminated,Production       ,Production Technician II,24,Kelley Spirea,Monster.com,Fully Meets
"Purinton, Janine",1011022926,MA,2474,22/09/1970,47,Female,Divorced,US Citizen,24/09/2012,18/06/2013,unhappy,Voluntarily Terminated,Production       ,Production Technician I,16,Kissy Sullivan,Billboard,Fully Meets
"Robinson, Elias",1011022887,MA,1730,28/01/1985,33,Male,widowed,US Citizen,8/7/13,,N/A - still employed,Active,Production       ,Production Technician I,17,Brannon Miller,Employee Referral,Exceptional
"Alagbe,Trina",1011022883,MA,1886,27/09/1988,29,Female,Married,US Citizen,7/1/08,,N/A - still employed,Active,Production       ,Production Technician I,21,Elijiah Gray,Billboard,Fully Meets
"Monroe, Peter",1011022863,MA,2134,5/10/86,31,Male,Married,Eligible NonCitizen,15/02/2012,,N/A - still employed,Active,IT/IS,IT Manager - Infra,63,Jennifer Zamora,Diversity Job Fair,Needs Improvement
"Burke, Joelle",1011022820,MA,2148,2/3/80,37,Female,Single,US Citizen,5/3/12,,N/A - still employed,Active,Production       ,Production Technician II,25,Amy Dunn,Employee Referral,Fully Meets
"Walker, Roger",1011022818,MA,2459,10/2/76,41,Male,Single,US Citizen,18/08/2014,,N/A - still employed,Active,Production       ,Production Technician II,22,Ketsia Liebig,Employee Referral,Fully Meets
"Volk, Colleen",1011022814,MA,2747,3/6/86,31,Female,Married,US Citizen,26/09/2011,8/2/16,gross misconduct,Terminated for Cause,Production       ,Production Technician I,21,Kelley Spirea,Social Networks - Facebook Twitter etc,Exceeds
"Thibaud, Kenneth",1011022777,MA,2472,16/09/1975,42,Male,widowed,US Citizen,25/06/2007,30/08/2010,military,Voluntarily Terminated,Production       ,Production Technician II,23,Webster Butler,Pay Per Click - Google,Fully Meets
"Carr, Claudia  N",1010022337,MA,1886,6/6/86,31,Female,Single,US Citizen,30/06/2016,,N/A - Has not started yet,Future Start,IT/IS,Sr. DBA,61.3,Simon Roup,Vendor Referral,N/A- too early to review
"Langford, Lindsey",1010022030,MA,2090,25/07/1979,38,Female,Divorced,US Citizen,7/1/13,31/03/2014,Another position,Voluntarily Terminated,Production       ,Production Technician II,22,David Stanley,Glassdoor,Fully Meets
"Houlihan, Debra",1009021646,RI,2908,17/03/1966,51,Female,Married,US Citizen,5/5/14,,N/A - still employed,Active,Sales,Director of Sales,60,Janet King,MBTA ads,Fully Meets
"Bondwell, Betsy",1008021030,MA,2210,16/01/1967,51,Female,Single,US Citizen,10/1/11,4/4/14,career change,Voluntarily Terminated,Production       ,Production Technician II,26,Elijiah Gray,Search Engine - Google Bing Yahoo,90-day meets
"Gilles, Alex",1008020960,MA,2062,9/8/74,43,Male,Married,US Citizen,2/4/12,25/06/2015,military,Voluntarily Terminated,Production       ,Production Technician I,15,Webster Butler,Diversity Job Fair,Needs Improvement
"Jeannite, Tayana",1008020942,MA,1821,6/11/86,31,Female,Divorced,US Citizen,5/7/11,,N/A - still employed,Active,Production       ,Production Technician II,22.5,Ketsia Liebig,MBTA ads,Exceeds
"Engdahl, Jean",1007020403,MA,2026,31/05/1974,43,Male,Single,US Citizen,10/11/14,,N/A - still employed,Active,Production       ,Production Technician I,21.25,Kelley Spirea,MBTA ads,Fully Meets
"Bramante, Elisa",1006020066,MA,2030,19/03/1983,34,Female,Single,US Citizen,5/1/09,,N/A - still employed,Active,Production       ,Director of Operations,60,Janet King,Other,Exceeds
"Fidelia,  Libby",1006020020,MA,2155,16/03/1981,36,Female,Married,US Citizen,9/1/12,,N/A - still employed,Active,Production       ,Production Technician I,24,Brannon Miller,Social Networks - Facebook Twitter etc,Fully Meets
"Akinkuolie, Sarah",1005019209,MA,1810,19/09/1988,29,Female,Married,US Citizen,5/7/11,24/09/2012,hours,Voluntarily Terminated,Production       ,Production Technician II,29,Kissy Sullivan,Newspager/Magazine,90-day meets
